LEXEME	REPLACEMENT	COMMENT
˦˨ pā ˧ k’ī = ɣā	pā˦˨ɣā=k’ī˧	swap tones
˦ āǒ ˦˥ ṯs̱i	āǒ˦ṯs̱i˦˥	swap tones
i lan ˨˩ mōn (two men)	lanimōn˨˩	swap tones
i lan ˨˩ miēn (two men)	lanimiēn˨˩	swap tones
˦˨ a ˨˦ ba ˨˦ ñⁱ ˦˨ ma	a˦˨ba˨˦ñⁱ˨˦ma˦˨	swap tones
˨ aba° ni° ˦˨ ch’ä	ni°aba°˨ch’ä˦˨	swap tones
˦ abo° ni° ˦˨ ch’ä	ni°abo°˦ch’ä˦˨	swap tones
˨ à bà ˨ ñī ˧ mà	bàà˨ñī˨mà˧	swap tones
a ˧ wā ka ˧ leṅ ˨˩ hū	akawā˧leṅ˧hū˨˩	swap tones
a ˧ p’e hna yauᵏ	ayauᵏhnap’e˧	swap tones
˨˦ hlāi ˦˨ bå	hlāi˨˦bå˦˨	swap tones
˨˦ lāi ˦˨ p’å	lāi˨˦p’å˦˨	swap tones
˦˨ på (˦ tàṅ ˨˦ lai)	på˦˨	swap tones
˦˥ kàk ˧ chà	kàk˦˥chà˧	swap tones
˧ p’ā = θī (or ˧ p’ā ˧ la = p’a)	θī=p’ā˧	swap tones
˦˨ pā ˧ ta ˥˦ p’ā	pā˦˨ta˧p’ā˥˦	swap tones
˨˩ mōn ˨˦ chʸàṅ (duṅ) (men)	mōn˨˩chʸàṅ˨˦	swap tones
˨˩ miēn ˦˥ šam (men)	miēn˨˩šam˦˥	swap tones
˦˨ a ˨˦ ba ˨˦ še (or ˨˦ ḏẕö)	a˦˨ba˨˦še˨˦	swap tones
˨ aba° (hi°)	aba°˨	swap tones
˨ à ˨ bà (= bū)	à˨bà˨	swap tones
a ˧ wā dàᵏ	adàᵏwā˧	swap tones
a ˧ p’e ˥˦ do°	ap’e˧do°˥˦	swap tones
˦˨ fu (P.)	fu˦˨	swap tones
˨˦ k’åṅ ˨˦ hlāi ˦˨ bå (F.)	k’åṅ˨˦hlāi˨˦bå˦˨	swap tones
˨˦ k’åṅ ˨˦ lāi ˦˨ p’å (F.)	k’åṅ˨˦lāi˨˦p’å˦˨	swap tones
˦˨ på (˦ tàṅ ˨˦ lai) (F.)	på˦˨	swap tones
˦˥ kàk ˧ chà (F.)	kàk˦˥chà˧	swap tones
˧ p’ā = θī (or ˧ p’ā ˧ la = p’a) ˧ a (P.)	θī=p’ā˧a˧	swap tones
˦˨ pā ˧ ta ˥˦ p’ā ˧ a (P.)	pā˦˨ta˧p’ā˥˦a˧	swap tones
˦˥ tē mōn ˨˦ chʸàṅ duṅ (of men)	mōntē˦˥duṅchʸàṅ˨˦	swap tones
˨˩ te ˨˩ miēn ˦˥ šam (of men)	te˨˩miēn˨˩šam˦˥	swap tones
˦˨ a ˨˦ ba ˨˦ še (or ˨˦ ḏẕö) (P.)	a˦˨ba˨˦še˨˦	swap tones
˨ aba° (hi°) (P.)	aba°˨	swap tones
a ˧ wā dàᵏ (P.)	adàᵏwā˧	swap tones
a ˧ p’e ˥˦ do° (P.)	ap’e˧do°˥˦	swap tones
˨ kä ˨˦ hlāi ˦˨ bå	kä˨hlāi˨˦bå˦˨	swap tones
˨ kä ˨˦ lāi ˦˨ p’å	kä˨lāi˨˦p’å˦˨	swap tones
˦˨ tī ˦˨ på (˦ tàṅ ˨˦ lai)	tī˦˨på˦˨	swap tones
˨˩ kuṅ ˦˥ kàk ˧ chà	kuṅ˨˩kàk˦˥chà˧	swap tones
˧ lö (or ˨˦ sō) ˧ p’ā = θī (or ˧ p’ā ˧ la = p’a)	lö˧θī=p’ā˧	swap tones
˧ lö (or ˧ s’ū) ˦˨ pā ˧ ta ˥˦ p’ā	lö˧pā˦˨ta˧p’ā˥˦	swap tones
˨ aba° (hi°) (˦˨ ju)	aba°˨	swap tones
a ˧ wā dàᵏ ˨ bā	adàᵏwā˧bā˨	swap tones
a ˧ p’e ˥˦ do° ˧ go	ap’e˧do°˥˦go˧	swap tones
˨ tä ˨˦ hlāi ˦˨ bå	tä˨hlāi˨˦bå˦˨	swap tones
˨ tä ˨4 lāi ˦˨ p’å	tä˨lāi˨4p’å˦˨	swap tones
˦˨ kā (or ˦˨ tī) ˦˨ på (˦ tàṅ ˨˦ lai)	kā˦˨på˦˨	swap tones
˦˥ kàk ˧ chà ˨˦ biēu	kàk˦˥chà˧biēu˨˦	swap tones
˧ lö ˧ p’ā = θī (or ˧ lö ˧ p’ā ˧ la = p’a)	lö˧θī=p’ā˧	swap tones
˧ lö ˦˨ pā ˧ ta ˥˦ p’ā	lö˧pā˦˨ta˧p’ā˥˦	swap tones
˦˥ ṯs̱i (case indicated by context)	ṯs̱i˦˥	swap tones
˦˥ mē tàṅ ˦˥ ti ˨˩ tai ˨˩ nai ˨˩ mōn ˨˦ chʸàṅ (from men)	tàṅmē˦˥ti˦˥tai˨˩nai˨˩mōn˨˩chʸàṅ˨˦	swap tones
˨˩ miēn ha ˦˥ ha ˨˩ tao ˦˥ tai (from men)	hamiēn˨˩ha˦˥tao˨˩tai˦˥	swap tones
˦˨ a ˨˦ ba ˨˦ še (or ˨˦ ḏẕö) ˦˨ ka	a˦˨ba˨˦še˨˦ka˦˨	swap tones
˨ aba° (hi°) mu°	mu°aba°˨	swap tones
a ˧ wā dàᵏ ˨˩ beṅ (or käᵏ)	adàᵏwā˧beṅ˨˩	swap tones
a ˧ p’e ˥˦ do° ˥˦ gà°	ap’e˧do°˥˦gà°˥˦	swap tones
˨˦ mu	mu˨˦	swap tones
˨˦ muṅ	muṅ˨˦	swap tones
˩˨ lō ˩˨ mō	lō˩˨mō˩˨	swap tones
˦˨ mä	mä˦˨	swap tones
mé (? ˦˨ mä)	mé	swap tones
˨ me	me˨	swap tones
˧ mō	mō˧	swap tones
˦˨ mō	mō˦˨	swap tones
˩˨ na	na˩˨	swap tones
˨˩ yi	yi˨˩	swap tones
˦˨ a ˦˨ ma	a˦˨ma˦˨	swap tones
˨ a ˦˨ mo	a˨mo˦˨	swap tones
˨ i ˦˨ mo	i˨mo˦˨	swap tones
˦ a ˦˨ mo	a˦mo˦˨	swap tones
˧ à ˧ mà	à˧mà˧	swap tones
˨˦ mà ˧ mà	mà˨˦mà˧	swap tones
a ˧ mä	amä˧	swap tones
a ˧ me	ame˧	swap tones
(E.) ˦ hsiuṅ	hsiuṅ˦	swap tones
(Y.) ˦˨ tī	tī˦˨	swap tones
(E.) ˨˩ tāi ˦˥ lō	tāi˨˩lō˦˥	swap tones
˦ hiṅ	hiṅ˦	swap tones
(Y.) ˥˦ sai lō	lōsai˥˦	swap tones
˨˩ tai	tai˨˩	swap tones
(E.) ˦˨ bī ˧ jāi	bī˦˨jāi˧	swap tones
(Y.) ˦ ˦˨ nåṅ ˧ jāi	nåṅ˦˦˨jāi˧	swap tones
(E.) ˦˨ p’ī ˧ ch’āi	p’ī˦˨ch’āi˧	swap tones
(Y.) ˦ ˦˨ nåṅ ˧ ch’āi	nåṅ˦˦˨ch’āi˧	swap tones
(E.) ˦˨ pī ˦ sai	pī˦˨sai˦	swap tones
(Y.) ˥˦ nåṅ ˦ sai	nåṅ˥˦sai˦	swap tones
(E.) ˧ àñ	àñ˧	swap tones
(Y.) ˧ em	em˧	swap tones
˧ wai	wai˧	swap tones
(E.) ˦˨ wä (˧ k’wā)	wä˦˨	swap tones
(Y.) ˦˨ pü (˧ k’wā)	pü˦˨	swap tones
(E.) ˦˥ kü	kü˦˥	swap tones
(Y.) ˦ tī	tī˦	swap tones
˦˥ yēu	yēu˦˥	swap tones
(E.) ˦˨ a ˦˨ pu	a˦˨pu˦˨	swap tones
(Y.) ˦˨ ṅä ˦˨ k’ē	ṅä˦˨k’ē˦˨	swap tones
(E.) ˨ amu°	amu°˨	swap tones
(Y.) ni° ˦˨ k’yē	ni°k’yē˦˨	swap tones
(E.) ˦ ayi°	ayi°˦	swap tones
(Y.) ñē° ˨ ma	ñē°ma˨	swap tones
(E.) ˦ à ˨ yī°	à˦yī°˨	swap tones
(Y.) ˧ ñī ˨ rà	ñī˧rà˨	swap tones
(E.) a ˨˩ mū	amū˨˩	swap tones
(Y.) na ˧ s’ī	nas’ī˧	swap tones
(E.) a ˧ ko	ako˧	swap tones
(Y.) ˧ ñi	ñi˧	swap tones
˩˨ prā	prā˩˨	swap tones
(E.) ˨˦ chyē	chyē˨˦	swap tones
(Y.) ˦˨ mä	mä˦˨	swap tones
(E.) ˥˦ ā ˦˥ tsē	ā˥˦tsē˦˥	swap tones
(Y.) ˥˦ ā ˨˩ mūi	ā˥˦mūi˨˩	swap tones
(E.) ˦˨ bī ˨˦ sāo	bī˦˨sāo˨˦	swap tones
(Y.) ˦ ˦˨ nåṅ ˨˦ sāo	nåṅ˦˦˨sāo˨˦	swap tones
(E.) ˦˨ p’ī ˨˦ sāo	p’ī˦˨sāo˨˦	swap tones
(E.) ˦˨ pī ˦ nàṅ	pī˦˨nàṅ˦	swap tones
(Y.) ˥˦ nåṅ ˦ yiṅ	nåṅ˥˦yiṅ˦	swap tones
(E.) ˨ chi	chi˨	swap tones
˧ wai = mu	mu=wai˧	swap tones
(E.) ˦˨ wä ˥˦ mü	wä˦˨mü˥˦	swap tones
(Y.) ˦˨ pü ˥˧ mü	pü˦˨mü˥˧	swap tones
(E.) ˩˨ mwa	mwa˩˨	swap tones
˦˥ ō ˨˩ mu	ō˦˥mu˨˩	swap tones
˦˥ tō ˨˩ mu	tō˦˥mu˨˩	swap tones
(E.) ˦˨ a ˨˦ ža	a˦˨ža˨˦	swap tones
(Y.) ˦˨ nö ˦˨ ma	nö˦˨ma˦˨	swap tones
(E.) ˦ a ˨˦ vi	a˦vi˨˦	swap tones
(Y.) ˨ na ˦˨ mo	na˨mo˦˨	swap tones
(E.) ˦ a ˨˦ ṯs̱’ö	a˦ṯs̱’ö˨˦	swap tones
(Y.) ñē° ˦˨ mo	ñē°mo˦˨	swap tones
(E.) ˦ à ˧ ṯs̱ⁱ	à˦ṯs̱ⁱ˧	swap tones
(Y.) ˧ ñī ˧ mà	ñī˧mà˧	swap tones
(E.) a ˨˩ te	ate˨˩	swap tones
(Y.) ˧ sàn	sàn˧	swap tones
(E.) a ˥˦ mà°	amà°˥˦	swap tones
(Y.) hna ˥˦ mà°	hnamà°˥˦	swap tones
˩˨ paiṇ	paiṇ˩˨	swap tones
(vir) ˨ nān	nān˨	swap tones
˨ lān	lān˨	swap tones
(homo) ˨ žan	žan˨	swap tones
(vir) ˨ nām	nām˨	swap tones
(homo) ˨ yan	yan˨	swap tones
(vir) ˦˨ p’ū ˧ jāi	p’ū˦˨jāi˧	swap tones
(homo) ˧ gon	gon˧	swap tones
(vir) ˦˨ p’ū ˧ ch’āi	p’ū˦˨ch’āi˧	swap tones
(homo) ˧ k’on	k’on˧	swap tones
(vir) ˦˨ p’ū ˦ sai	p’ū˦˨sai˦	swap tones
˦ kōn ˦ sai	kōn˦sai˦	swap tones
(homo) ˦ kōn	kōn˦	swap tones
˨˩ ṅüöi	ṅüöi˨˩	swap tones
˧ φa ˨˦ ša	φa˧ša˨˦	swap tones
(vir) = pɣā ˧ pō° ˧ k’wā	pɣā=pō°˧k’wā˧	swap tones
(vir) ˦ leṅ ˩˨ yöǚ	leṅ˦yöǚ˩˨	swap tones
(homo) ˦ neṅ ˦ leṅ	neṅ˦leṅ˦	swap tones
˨˩ mōn fa	famōn˨˩	swap tones
˨˩ miēn ˨˦ chʸàṅ	miēn˨˩chʸàṅ˨˦	swap tones
(vir) ˨˦ za ˦˨ žu	za˨˦žu˦˨	swap tones
˦˨ ṯs̱’o ˨˦ p’a	ṯs̱’o˦˨p’a˨˦	swap tones
(homo) ˦˨ ṯs̱’o	ṯs̱’o˦˨	swap tones
(homo) ˦˨ ṯs̱’u	ṯs̱’u˦˨	swap tones
(vir) u° ˨ chömä°	u°chömä°˨	swap tones
(homo) ˦˨ ṯs̱’a	ṯs̱’a˦˨	swap tones
(vir) = ṯs̱’å ˧ pà ˨ rà	ṯs̱’å=pà˧rà˨	swap tones
(homo) ˨ là = ṯs̱’å	ṯs̱’å=là˨	swap tones
ha ˨˩ lå wā	hawālå˨˩	swap tones
hala ˧ wā	halawā˧	swap tones
ta ˧ mī ˧ s’ā	tamī˧s’ā˧	swap tones
(vir) yauk ˨˩ yā	yaukyā˨˩	swap tones
(vir) yauk ˨˩ tyā	yauktyā˨˩	swap tones
(homo) ˧ lu	lu˧	swap tones
˨˦ nü	nü˨˦	swap tones
˩˨ nui ˨ yan	nui˩˨yan˨	swap tones
˦˨ p’ū ˨˦ hñiṅ	p’ū˦˨hñiṅ˨˦	swap tones
˦˨ p’ū ˨˦ yiṅ	p’ū˦˨yiṅ˨˦	swap tones
˦˨ p’ū ˦ yiṅ	p’ū˦˨yiṅ˦	swap tones
˦ kōn ˦ yiṅ	kōn˦yiṅ˦	swap tones
˨˦ ˦˨ nü	nü˨˦˦˨	swap tones
˧ φa = mu	mu=φa˧	swap tones
˧ pō°	pō°˧	swap tones
˦ leṅ ˦ ˦˨ pō	leṅ˦pō˦˦˨	swap tones
˨˩ mōn ˨˩ yi	mōn˨˩yi˨˩	swap tones
˨˩ miēn ˦˥ šia	miēn˨˩šia˦˥	swap tones
˨˦ a ˨˦ mä ˦˨ nö	a˨˦mä˨˦nö˦˨	swap tones
ma° ˦˨ cha ˦˨ mo	ma°cha˦˨mo˦˨	swap tones
zo° ˦˨ mä	zo°mä˦˨	swap tones
˨ rà ˨ mũ ˨ rà	rà˨mũ˨rà˨	swap tones
˧ ī ˧ s’ī	ī˧s’ī˧	swap tones
˨˩ minma	minma˨˩	swap tones
˨˩ meim ˥˦ mà°	meim˨˩mà°˥˦	swap tones
˦ ch’ī	ch’ī˦	swap tones
˩˨ lō ˨ p’å	lō˩˨p’å˨	swap tones
˧ mīà	mīà˧	swap tones
˧ bhorryā	bhorryā˧	swap tones
˧ p’ànyā	p’ànyā˧	swap tones
mé (? ˦ mē)	mé	swap tones
˦ mē	mē˦	swap tones
˨ vö	vö˨	swap tones
˨ ma	ma˨	swap tones
˧ mā	mā˧	swap tones
˦ ˦˨ pō	pō˦˦˨	swap tones
˦ ˦˨ ñaṅ	ñaṅ˦˦˨	swap tones
˦˥ ao	ao˦˥	swap tones
˨˦ mä ˧ šlē	mä˨˦šlē˧	swap tones
ma° ˧ lyē	ma°lyē˧	swap tones
˦ ā ˨ pi ˦˨ ma	ā˦pi˨ma˦˨	swap tones
˨ rà = mɯ̃	rà=mɯ̃˨	swap tones
˧ eᵏ	eᵏ˧	swap tones
ma ˨˩ yā	mayā˨˩	swap tones
˥˦ vauṭī ˥˦ vauṭṭī	vauṭī˥˦vauṭṭī˥˦	swap tones
˦ kai	kai˦	swap tones
˥˦ sai ˦ man ˦˥ tsai	sai˥˦man˦tsai˦˥	swap tones
˦˥ tsz	tsz˦˥	swap tones
˦˨ lūk	lūk˦˨	swap tones
˨ tek	tek˨	swap tones
˦˨ lūᵏ	lūᵏ˦˨	swap tones
˨ deᵏ	deᵏ˨	swap tones
˦˨ luk ˨ ån	luk˦˨ån˨	swap tones
˧ kon ˦˥ nit	kon˧nit˦˥	swap tones
˧ p’ō ˥˦ θā	p’ō˧θā˥˦	swap tones
˧ p’ō ˦ s’ī°	p’ō˧s’ī°˦	swap tones
˦˥ me ˦ ñwa	me˦˥ñwa˦	swap tones
˦ tō ˦ ki	tō˦ki˦	swap tones
˦˥ say	say˦˥	swap tones
˨ fük chʸüöi	chʸüöifük˨	swap tones
˨˦ a ˦˨ nö ˦˨ za	a˨˦nö˦˨za˦˨	swap tones
˨ a ˦ bazo°	a˨bazo°˦	swap tones
˨ a ˦ nezo°	a˨nezo°˦	swap tones
˦ a ˨ ñēzo°	a˦ñēzo°˨	swap tones
˨ rà ˧ ne ˨ rà	rà˨ne˧rà˨	swap tones
s’a ˧ šā	s’ašā˧	swap tones
ǎka ˨˩ lē	ǎkalē˨˩	swap tones
k’a ˨˩ le	k’ale˨˩	swap tones
˨ ṅᵉ	ṅᵉ˨	swap tones
˨ yᵃ	yᵃ˨	swap tones
˨˦ tsz	tsz˨˦	swap tones
˦˥ ṯs̱ai	ṯs̱ai˦˥	swap tones
˦˨ lūk ˧ jāi	lūk˦˨jāi˧	swap tones
˦˨ lūᵏ ˧ ch’āi	lūᵏ˦˨ch’āi˧	swap tones
˦˨ luk ˦ sai	luk˦˨sai˦	swap tones
˧ kon ˧ trai	kon˧trai˧	swap tones
= p’ō ˨ kwā	p’ō=kwā˨	swap tones
˧ p’ō ˧ k’wā	p’ō˧k’wā˧	swap tones
˨˦ mē ˦ tō	mē˨˦tō˦	swap tones
˨˦ za	za˨˦	swap tones
˧ à ˧ bī	à˧bī˧	swap tones
˨ rà	rà˨	swap tones
˧ s’ā	s’ā˧	swap tones
˨˩ šā	šā˨˩	swap tones
˨˩ θā	θā˨˩	swap tones
˨˦ nü ˦ hai tsz (atonic)	nü˨˦tszhai˦	swap tones
˩˨ nui	nui˩˨	swap tones
˦˨ lūk ˨˦ hñiṅ	lūk˦˨hñiṅ˨˦	swap tones
˦˨ lūᵏ ˨˦ yiṅ	lūᵏ˦˨yiṅ˨˦	swap tones
˦˨ luk ˦ yiṅ	luk˦˨yiṅ˦	swap tones
˧ kon ˦˥ gai	kon˧gai˦˥	swap tones
˧ p’ō ˥˦ mü	p’ō˧mü˥˦	swap tones
˦˥ mē ˦ ns’ai	mē˦˥ns’ai˦	swap tones
