NameInSource	Name	Order	FamilyInSource	SubGroup	NumberInSource	ISO639P3code	Glottocode
Kachch’ī	KACHCHHI	318	Indo-European Family, Aryan sub-family	Indo-Aryan	452.	kfr	kach1277
Marāṭ’ī, Dēšī	MARATHI_DESHI	319	Indo-European Family, Aryan sub-family	Indo-Aryan	456.	mar	mara1378
Nāgpurī	NAGPURI	320	Indo-European Family, Aryan sub-family	Indo-Aryan	478.	vah	varh1239
Kōṅkaṇī	KONKANI	321	Indo-European Family, Aryan sub-family	Indo-Aryan	494.	knn	konk1267
Singhalese	SINGHALESE	322	Indo-European Family, Aryan sub-family	Indo-Aryan	499.	sin	sinh1246
Oṛiyā	ORIYA	323	Indo-European Family, Aryan sub-family	Indo-Aryan	502.	ory	oriy1255
Bihārī, Mait’ilī	BIHARI_MAITHILI	324	Indo-European Family, Aryan sub-family	Indo-Aryan	507.	mai	mait1250
Magahī	MAGAHI	325	Indo-European Family, Aryan sub-family	Indo-Aryan	516.	mag	maga1260
B’ojpurī, Northern	BHOJPURI_NORTHERN	326	Indo-European Family, Aryan sub-family	Indo-Aryan	521.	bho	nort2656
B’ojpurī, Southern	BHOJPURI_SOUTHERN	327	Indo-European Family, Aryan sub-family	Indo-Aryan	520.	bho	sout2661
Nagpuriā	NAGPURIA	328	Indo-European Family, Aryan sub-family	Indo-Aryan	526.	sck	sadr1248
Bengali, written	BENGALI_WRITTEN	329	Indo-European Family, Aryan sub-family	Indo-Aryan	530.	ben	beng1280
Bengali, spoken	BENGALI_SPOKEN	330	Indo-European Family, Aryan sub-family	Indo-Aryan			beng1280
South-western	SOUTH_WESTERN_BENGALI	331	Indo-European Family, Aryan sub-family	Indo-Aryan	537.	ben	beng1280
Siripuriā	SIRIPURIA	332	Indo-European Family, Aryan sub-family	Indo-Aryan	541.	ben	siri1268
Eastern	EASTERN_BENGALI	333	Indo-European Family, Aryan sub-family	Indo-Aryan	546.	bgp	east2744
of Cachar	EASTERN_BENGALI_OF_CACHAR	334	Indo-European Family, Aryan sub-family	Indo-Aryan	548.	syl	sylh1242
of Chittagong	EASTERN_BENGALI_OF_CHITTAGONG	335	Indo-European Family, Aryan sub-family	Indo-Aryan	550.	ctg	chit1275
Chākmā	CHAKMA	336	Indo-European Family, Aryan sub-family	Indo-Aryan	551.	ccp	chak1266
Assamese	ASSAMESE	337	Indo-European Family, Aryan sub-family	Indo-Aryan	553.	asm	assa1263
Eastern Hindī, Awad’ī	EASTERN_HINDI_AWADHI	338	Indo-European Family, Aryan sub-family	Indo-Aryan	558.	awa	awad1243
Bag’ēlī	BAGHELI	339	Indo-European Family, Aryan sub-family	Indo-Aryan	560.	bfy	bagh1251
Ch’attīsgaṛ’ī	CHHATTISGARHI	340	Indo-European Family, Aryan sub-family	Indo-Aryan	573.	hne	chha1249
Western Hindī, Hindōstānī	WESTERN_HINDI_HINDOSTANI	341	Indo-European Family, Aryan sub-family	Indo-Aryan	582.	hin	hind1269
Vernacular Hindōstānī	VERNACULAR_HINDOSTANI	342	Indo-European Family, Aryan sub-family	Indo-Aryan	583.	hin	hind1269
Dak’inī	DAKHINI	343	Indo-European Family, Aryan sub-family	Indo-Aryan	587.	dcc	decc1239
Bāngarū	BANGARU	344	Indo-European Family, Aryan sub-family	Indo-Aryan	589.	bgc	hary1238
Braj B’āk’ā	BRAJ_BHAKHA	345	Indo-European Family, Aryan sub-family	Indo-Aryan	593.	bra	braj1242
Kanaujī	KANAUJI	346	Indo-European Family, Aryan sub-family	Indo-Aryan	605.	bjj	kana1281
Bundēlī	BUNDELI	347	Indo-European Family, Aryan sub-family	Indo-Aryan	611.	bns	bund1253
Banāp’arī	BANAPHARI	348	Indo-European Family, Aryan sub-family	Indo-Aryan	616.	bns	bana1281
Pañjābī, written	PANJABI_WRITTEN	349	Indo-European Family, Aryan sub-family	Indo-Aryan	633.	pan	panj1256
Pañjābī, spoken	PANJABI_SPOKEN	350	Indo-European Family, Aryan sub-family	Indo-Aryan			panj1256
Pōwād’ī	POWADHI	351	Indo-European Family, Aryan sub-family	Indo-Aryan	639.	pwr	powa1246
Ḍōgrī	DOGRI	352	Indo-European Family, Aryan sub-family	Indo-Aryan	648.	dgo	dogr1250
Kāṅgrā	KANGRA	353	Indo-European Family, Aryan sub-family	Indo-Aryan	650.	xnr	kang1280
Gujarātī, Standard	GUJARATI_STANDARD	354	Indo-European Family, Aryan sub-family	Indo-Aryan	653.	guj	guja1252
Charōtarī	CHAROTARI	355	Indo-European Family, Aryan sub-family	Indo-Aryan	661.	guj	guja1252
Kāṭ’iyāwāḍī	KATHIYAWADI	356	Indo-European Family, Aryan sub-family	Indo-Aryan	666.	guj	kath1249
K’ārawā	KHARAWA	357	Indo-European Family, Aryan sub-family	Indo-Aryan	673.	guj	khar1282
K’ār^awā	KHARAWA	358	Indo-European Family, Aryan sub-family	Indo-Aryan	673.	guj	khar1282
K’ārᵃwā	KHARAWA	359	Indo-European Family, Aryan sub-family	Indo-Aryan	673.	guj	khar1282
G’isāḍī	GHISADI	360	Indo-European Family, Aryan sub-family	Indo-Aryan	676.	guj	guja1252
Rājast’ānī, Mārwāṛi	RAJASTHANI_MARWARI	361	Indo-European Family, Aryan sub-family	Indo-Aryan	713.	rwr	marw1260
Jaipuri	JAIPURI	362	Indo-European Family, Aryan sub-family	Indo-Aryan	742.	dhd	dhun1238
Mēwātī	MEWATI	363	Indo-European Family, Aryan sub-family	Indo-Aryan	755.	mtr	mewa1249
Gujurī of Hazara	GUJURI_OF_HAZARA	364	Indo-European Family, Aryan sub-family	Indo-Aryan	777.	gju	guja1253
Mālvī	MALVI	365	Indo-European Family, Aryan sub-family	Indo-Aryan	761.	mup	malv1243
Nīmāḍī	NIMADI	366	Indo-European Family, Aryan sub-family	Indo-Aryan	770.	noe	nima1243
Lab’ānī of Berar	LABHANI_OF_BERAR	367	Indo-European Family, Aryan sub-family	Indo-Aryan	771.	lmn	lamb1269
K’āndēšī	KHANDESI	368	Indo-European Family, Aryan sub-family	Indo-Aryan	708.	khn	khan1272
B’īlī	BHILI	369	Indo-European Family, Aryan sub-family	Indo-Aryan	678.	bhb	bhil1251
Eastern Pahāṛī/K’as-kurā	EASTERN_PAHARI_OR_KHAS_KURA	370	Indo-European Family, Aryan sub-family	Indo-Aryan	782.	npi	nepa1254
Central Pahāṛī, Kumaunī	CENTRAL_PAHARI_KUMAUNI	371	Indo-European Family, Aryan sub-family	Indo-Aryan	785.	kfy	kuma1273
Gaṛ’wālī	GARHWALI	372	Indo-European Family, Aryan sub-family	Indo-Aryan	805.	gbm	garh1243
Western Pahāṛī, Jaunsārī	WESTERN_PAHARI_JAUNSARI	373	Indo-European Family, Aryan sub-family	Indo-Aryan	815.	jns	jaun1243
Sirmaurī	SIRMAURI	374	Indo-European Family, Aryan sub-family	Indo-Aryan	816.	srx	sirm1239
Bag’āṭī	BAGHATI	375	Indo-European Family, Aryan sub-family	Indo-Aryan	820.	bfz	bagh1249
Kiū̃ṭ’alī	KIUTHALI	376	Indo-European Family, Aryan sub-family	Indo-Aryan	822.	bfz	kiun1241
Šǒdōchī	SHODOCHI	377	Indo-European Family, Aryan sub-family	Indo-Aryan	830.	bfz	maha1287
Kuḷuī	KULUI	378	Indo-European Family, Aryan sub-family	Indo-Aryan	833.	kfx	kllu1238
Maṇḍěāḷī	MANDEALI	379	Indo-European Family, Aryan sub-family	Indo-Aryan	837.	mjl	mand1409
Chaměaḷī	CHAMEALI	380	Indo-European Family, Aryan sub-family	Indo-Aryan	842.	cdh	cham1307
Gādī	GADI	381	Indo-European Family, Aryan sub-family	Indo-Aryan	843.	cdh	gadi1238
Paṅgwāḷī	PANGWALI	382	Indo-European Family, Aryan sub-family	Indo-Aryan	845.	pgg	pang1282
B’adrawāhī	BHADRAWAHI	383	Indo-European Family, Aryan sub-family	Indo-Aryan	847.	bhd	bhad1241
Pāḍarī	PADARI	384	Indo-European Family, Aryan sub-family	Indo-Aryan	849.	bhd	pada1256
