	Japanese	rakuda
270.	Tavoyan	kᵃlᵃauᵏ
285a.	Tamil̤	oṭṭei
287. (285b.)	Korava	vaṇṭi
291. (285c.)	Kaikāḍī	vāṇṭi
289. (285d.)	Irula	…
294.	Malayāḷam	oṭṭagam
297a.	Kanarese	oṇṭᵉ
298. (297b.)	Baḍaga	voṭṭe
301.	Koḍagu	…
302.	Tuḷu	voṇṭe
303.	Toda	voṭṭe
304.	Kōta	...
305.	Kurunꭓ/Orāō̃	uṇṭ
307.	Malto/Maler	uṭeθ
308.	Kui/Kand’ī/Khond	ōṭo
310.	Kōlāmī	lōṭṭī
314.	Gōṇḍi	uṭṭum
320.	Telugu	loṭṭipiṭṭᵃ
328.	Brāhūī	huch
	Arabic	ba’īr (m.)
		nāqah (f.)
	Old Persian	…
	Avesta	uštra
	Pahlavī	uštr
331.	Persian	uštur
		šutur
339.	Paṣ̌tō, of Peshawar	ūꭓ́
353. (339b.)	Wazīrī	yīṣ̌
354. (339c.)	of Kandahar	ūṣ̌
360.	Ōrmuṛī	ūṣ̌
363a.	Balōchī, Makrānī	uštr
366. (363b.)	Eastern	hušt’ur
		(m.) lērō
370.	Waꭓī	uštür
371a.	Šiɣnī	š́tur
		ꭓetur
372. (371b.)	Sarīkolī	ṣ̌tyūr
		ꭓtür
376.	Iškāšmī, Zēbakī	uštur
		štur
377a.	Munjānī/Mungī	škir
378. (377b.)	Yüdɣa	išchuro
379.	Bašgali	bilẽ šṭyur
380.	Wai-alā	ūk
381.	Wasĩ-veri/Veron	išṭiur
383.	Kalāšā	uṭ
384.	Gawar-bati	ūꭓ
386.	Pašai, Eastern	šutūr
387.	Pašai, Western	šutūr
390.	K’ōwār/Chitrālī	uṭ
392a.	Šiṇā, Gilgitī	ū̃ṭ
394. (392b.)	Chilāsi	ūṭ’
396. (392c.)	of Drās	uṭ’
397. (392d.)	of Ḍāh-Hanū	ṅaboṅ (Tibetan)
400a.	Kašmīrī	wū̃ṭ’
401. (400b.)	Kašṭawāṛī	ū̃ṭ’
403. (400c.)	Pǒgulī	ū̃ṭ
404. (400d.)	Ḍōḍā Sirājī	ū̃ṭ
405. (400e.)	Rāmbanī	uṭ
408a.	Kōhistānī, Gārwī	ūṭ’
409. (408b.)	Tōrwālī	ūꭓ (Paṣ̌tō)
411. (408c.)	Maiyā̃	ūꭓ (Paṣ̌tō)
	Gypsy, European	…
	Gypsy, Syrian	dǎwai
		štir
	Sanskrit	uṣṭraḥ
	Prakrit	uṭṭō
		uṭṭ’ō
430.	K’ētrānī	uṭ’ (fem. uch)
417a.	Lahndā, of Shahpur	uṭṭ’
426. (417b.)	Mūltānī	uṭṭ’
428. (417c.)	Hindkī	uṭ’
432. (417d.)	T’aḷī	uṭṭ’
433. (417e.)	D’annī	uṭṭ’
435. (417f.)	Tināulī	uṭ’
442. (417g.)	of Salt Range	uṭṭ’
437. (417h.)	Pōṭ’wārī	uṭṭ’
440. (417i.)	Chib’āli	ū̃ṭ’
441. (417j.)	Punch’ī	uṭ’
446a.	Sind’ī, Vichōlī	uṭ’ᵘ
450. (446b.)	Lāṛī	uṭ’
452. (446c.)	Kachch’ī	uṭ’
		ūṭ
456a.	Marāṭ’ī, Dēšī	uṇṭ
478. (456b.)	Nāgpurī	ū̃ṭ
494. (456c.)	Kōṅkaṇī	ūṇṭ
		karẽ
499.	Singhalese	otuwā
502.	Oṛiyā	ōṭa
507a.	Bihārī, Mait’ilī	ū̃ṭ
516. (507b.)	Magahī	ū̃ṭ
521. (507c.)	B’ojpurī, Northern	ū̃ṭ
520. (507d.)	B’ojpurī, Southern	ū̃ṭ
526. (507e.)	Nagpuriā	ū̃ṭ’
530a.	Bengali, written	uṭ
		uṣṭra
530b.	Bengali, spoken	uṭ
537. (530c.)	South-western	ũṭ
541. (530d.)	Siripuriā	uṭ
546. (530e.)	Eastern	uṭ
548. (530f.)	of Cachar	uṭ
550. (530g.)	of Chittagong	uṭ
		ō̃ṭ
551. (530h.)	Chākmā	ut
553.	Assamese	uṭ
558a.	Eastern Hindī, Awad’ī	ū̃ṭ
560. (558b.)	Bag’ēlī	ū̃ṭ
573. (558c.)	Ch’attīsgaṛ’ī	ū̃ṭ
582a.	Western Hindī, Hindōstānī	ū̃ṭ
583. (582b.)	Vernacular Hindōstānī	ū̃ṭ
587. (582c.)	Dak’inī	ū̃ṭ
589. (582d.)	Bāngarū	ū̃ṭ’
593. (582e.)	Braj B’āk’ā	ū̃ṭu
605. (582f.)	Kanaujī	ū̃ṭu
611. (582g.)	Bundēlī	ū̃ṭ
616. (582h.)	Banāp’arī	ū̃ṭ
633a.	Pañjābī, written	uṭṭ’
633b.	Pañjābī, spoken	ūṭ’
639. (633c.)	Pōwād’ī	ūṭ’
648. (633d.)	Ḍōgrī	ū̃ṭ
650. (633e.)	Kāṅgrā	ūṭ
653a.	Gujarātī, Standard	ū̃ṭ
661. (653b.)	Charōtarī	ũṇṭ
666. (653c.)	Kāṭ’iyāwāḍī	ũṭ’iyō
		s’ā̃ḍīyō
673. (653d.)	K’ārᵃwā	unt
676. (653e.)	G’isāḍī	hū̃ṭ
713a.	Rājast’ānī, Mārwāṛi	ū̃ṭ’
742. (713b.)	Jaipuri	ū̃ṭ’
755. (713c.)	Mēwātī	ũṭ
777. (713d.)	Gujurī of Hazara	ū̃ṭ’
761. (713e.)	Mālvī	ū̃ṭ
770. (713f.)	Nīmāḍī	ū̃ṭ
771. (713g.)	Lab’ānī of Berar	ūṭ
708.	K’āndēšī	uṭ
678.	B’īlī	ũṭũ
		ũṭ
782.	Eastern Pahāṛī/K’as-kurā	ũṭ’
785a.	Central Pahāṛī, Kumaunī	ū̃ṭ
805. (785b.)	Gaṛ’wālī	ūṭ’
815a.	Western Pahāṛī, Jaunsārī	ūṭ
816. (815b.)	Sirmaurī	ū̃ṭ
820. (815c.)	Bag’āṭī	ū̃ṭ
822. (815d.)	Kiū̃ṭ’alī	ū̃ṭ
830. (815e.)	Šǒdōchī	ū̃ṭ
833. (815f.)	Kuḷuī	ūṭ
837. (815g.)	Maṇḍěāḷī	ūṭ
842. (815h.)	Chaměaḷī	ūṭ
843. (815i.)	Gādī	ūṭ
845. (815j.)	Paṅgwāḷī	ūṭ
847. (815k.)	B’adrawāhī	ū̃ṭ
849. (815l.)	Pāḍarī	ū̃ṭ
