ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	INFERRED_CLASS
23470	114_and	And	EASTERNBENGALI	EASTERN_BENGALI	wa	wa	w ʌ	east2744					6 7	AX	WE	29	29.W.C 29.E.V	2.0 1.5	wʌ	0	5	And:5
23471	114_and	And	EASTERNBENGALI	EASTERN_BENGALI	di	di	d̪ i	east2744					1 7	AX	TI	29	29.T.C 29.I.V	2.0 1.5	d̪i	0	2	And:2
23472	114_and	And	WAXI	WAXI	o	o	o	wakh1245		37.1768	73.9777		7	X	U	106	106.U.V	1.5	o	0	3	And:3
23473	114_and	And	SHIYNI	SHIYNI	ō	ō	oː	shug1248		37.5018	71.7925		7	X	U	94	94.U.V	1.5	oː	0	3	And:3
23474	114_and	And	SARIKOLI	SARIKOLI	at	at	ʌ t̪	sari1246		37.905	75.1449		7 1	XN	ET	92	92.E.V 92.T.c	1.5 0.8	ʌt̪	0	2	And:2
23475	114_and	And	ISHKASHMIZEBAKI	ISHKASHMI_ZEBAKI	ī	ī	iː	ishk1246		36.67	71.55		7	X	I	41	41.I.V	1.5	iː	0	3	And:3
23476	114_and	And	ISHKASHMIZEBAKI	ISHKASHMI_ZEBAKI	wō	wō	w oː	ishk1246		36.67	71.55		6 7	AX	WU	41	41.W.C 41.U.V	2.0 1.5	woː	0	5	And:5
23477	114_and	And	ISHKASHMIZEBAKI	ISHKASHMI_ZEBAKI	zā	zā	z ʌː	ishk1246		36.67	71.55		3 7	AX	SE	41	41.S.C 41.E.V	2.0 1.5	zʌː	0	7	And:7
23478	114_and	And	MUNJANIORMUNGI	MUNJANI_OR_MUNGI	o	o	o	munj1244		35.9321	70.9404		7	X	U	68	68.U.V	1.5	o	0	3	And:3
23479	114_and	And	BASHGALI	BASHGALI	je	je	dʑ e	kati1270		35.4145	70.9826		2 7	AX	CE	8	8.C.C 8.E.V	2.0 1.5	dʑe	0	2	And:2
23480	114_and	And	WASIVERIORVERON	WASI_VERI_OR_VERON	rē	rē	r eː	pras1239		35.1731	70.8004		5 7	AX	RE	105	105.R.C 105.E.V	2.0 1.5	reː	0	1	And:1
23481	114_and	And	KALASHA	KALASHA	je	je	dʑ e	kala1372		35.6415	71.6657		2 7	AX	CE	44	44.C.C 44.E.V	2.0 1.5	dʑe	0	2	And:2
23482	114_and	And	KALASHA	KALASHA	že	že	ʒ e	kala1372		35.6415	71.6657		3 7	AX	SE	44	44.S.C 44.E.V	2.0 1.5	ʒe	0	7	And:7
23483	114_and	And	GAWARBATI	GAWAR_BATI	bi	bi	b i	gawa1247		35.1982	71.5428		1 7	AX	PI	36	36.P.C 36.I.V	2.0 1.5	bi	0	6	And:6
23484	114_and	And	PASHAIEASTERN	PASHAI_EASTERN	au	au	au	sout2672		34.43099	70.30351		7	X	A	79	79.A.V	1.5	au	0	3	And:3
23485	114_and	And	PASHAIEASTERN	PASHAI_EASTERN	wa	wa	w ʌ	sout2672		34.43099	70.30351		6 7	AX	WE	79	79.W.C 79.E.V	2.0 1.5	wʌ	0	5	And:5
23486	114_and	And	PASHAIWESTERN	PASHAI_WESTERN	au	au	au	sout2671		34.8478	69.8734		7	X	A	80	80.A.V	1.5	au	0	3	And:3
23487	114_and	And	PASHAIWESTERN	PASHAI_WESTERN	wa	wa	w ʌ	sout2671		34.8478	69.8734		6 7	AX	WE	80	80.W.C 80.E.V	2.0 1.5	wʌ	0	5	And:5
23488	114_and	And	KHOWARORCHITRALI	KHOWAR_OR_CHITRALI	o-che	o-che	o + tʃ e	khow1242		36.0	72.0		7 9 1 7	X_AX	U_TE	53	53.U.V 53._._ 53.T.C 53.E.V	1.5 0.0 2.0 1.5	o+tʃe	0	2	And:2
23489	114_and	And	SHINAGILGITI	SHINA_GILGITI	-ga	-ga	+ g ʌ	gilg1242					9 1 7	_AX	_KE	93	93._._ 93.K.C 93.E.V	0.0 2.0 1.5	+gʌ	0	2	And:2
23490	114_and	And	CHILASI	CHILASI	-gah	-gah	+ g ʌ h	shin1264		34.6515	75.287		9 1 7 3	_AXN	_KEH	23	23._._ 23.K.C 23.E.V 23.H.c	0.0 2.0 1.5 0.8	+gʌh	0	2	And:2
23491	114_and	And	CHILASIOFDRAS	CHILASI_OF_DRAS	mutō	mutō	m u t̪ oː	dras1242					4 7 1 7	AXBZ	MYTU	25	25.M.C 25.Y.V 25.T.C 25.U.V	2.0 1.5 1.75 0.8	mut̪oː	0	2	And:2
23492	114_and	And	CHILASIOFDAHHANU	CHILASI_OF_DAH_HANU	ũgā	ũgā	ũ g ʌː	brok1247		34.5308	76.6026		7 1 7	XBZ	YKE	24	24.Y.V 24.K.C 24.E.V	1.5 1.75 0.8	ũgʌː	0	2	And:2
23493	114_and	And	KASHMIRI	KASHMIRI	ta	ta	t̪ ʌ	kash1277		34.166825	74.330455		1 7	AX	TE	47	47.T.C 47.E.V	2.0 1.5	t̪ʌ	0	2	And:2
23494	114_and	And	KASHMIRI	KASHMIRI	biyě	biyě	b i j ə	kash1277		34.166825	74.330455		1 7 6 7	AXBZ	PIJE	47	47.P.C 47.I.V 47.J.C 47.E.V	2.0 1.5 1.75 0.8	bijə	0	6	And:6
23495	114_and	And	KASHTAWARI	KASHTAWARI	tě	tě	t̪ ə	kish1245					1 7	AX	TE	48	48.T.C 48.E.V	2.0 1.5	t̪ə	0	2	And:2
23496	114_and	And	KASHTAWARI	KASHTAWARI	biyě	biyě	b i j ə	kish1245					1 7 6 7	AXBZ	PIJE	48	48.P.C 48.I.V 48.J.C 48.E.V	2.0 1.5 1.75 0.8	bijə	0	6	And:6
23497	114_and	And	POGULI	POGULI	tě	tě	t̪ ə	pogu1238					1 7	AX	TE	84	84.T.C 84.E.V	2.0 1.5	t̪ə	0	2	And:2
23498	114_and	And	DODASIRAJI	DODA_SIRAJI	tě	tě	t̪ ə	sira1264					1 7	AX	TE	27	27.T.C 27.E.V	2.0 1.5	t̪ə	0	2	And:2
23499	114_and	And	DODASIRAJI	DODA_SIRAJI	tē	tē	t̪ eː	sira1264					1 7	AX	TE	27	27.T.C 27.E.V	2.0 1.5	t̪eː	0	2	And:2
23500	114_and	And	RAMBANI	RAMBANI	hōr	hōr	h oː r	ramb1240					3 7 5	AXN	HUR	90	90.H.C 90.U.V 90.R.c	2.0 1.5 0.8	hoːr	0	1	And:1
23501	114_and	And	RAMBANI	RAMBANI	tǎ	tǎ	t̪ æ	ramb1240					1 7	AX	TE	90	90.T.C 90.E.V	2.0 1.5	t̪æ	0	2	And:2
23502	114_and	And	KOHISTANIGARWI	KOHISTANI_GARWI	aō	aō	ʌ oː	indu1241		35.3389	73.0154		7 7	XZ	EU	55	55.E.V 55.U.V	1.5 0.8	ʌoː	0	3	And:3
23503	114_and	And	TORWALI	TORWALI	ta	ta	t̪ ʌ	torw1241		35.3101	72.5316		1 7	AX	TE	102	102.T.C 102.E.V	2.0 1.5	t̪ʌ	0	2	And:2
23504	114_and	And	MAIYA	MAIYA	ta	ta	t̪ ʌ	indu1241		35.3389	73.0154		1 7	AX	TE	62	62.T.C 62.E.V	2.0 1.5	t̪ʌ	0	2	And:2
23510	114_and	And	SANSKRIT	SANSKRIT	cha	cha	tʃ ʌ	sans1269		20.0	77.0		1 7	AX	TE	91	91.T.C 91.E.V	2.0 1.5	tʃʌ	0	2	And:2
23511	114_and	And	SANSKRIT	SANSKRIT	(another) aparam	aparam	ʌ p ʌ r ʌ m	sans1269		20.0	77.0		7 1 7 5 7 4	XBYBYN	EPEREM	91	91.E.V 91.P.C 91.E.V 91.R.C 91.E.V 91.M.c	1.5 1.75 1.3 1.75 1.3 0.8	ʌpʌrʌm	0	6	And:6
23512	114_and	And	PRAKRIT	PRAKRIT	cha	cha	tʃ ʌ	saur1252		27.46	77.56		1 7	AX	TE	87	87.T.C 87.E.V	2.0 1.5	tʃʌ	0	2	And:2
23513	114_and	And	PRAKRIT	PRAKRIT	avaraṁ	avaraṁ	ʌ ʋ ʌ r ã	saur1252		27.46	77.56		7 6 7 5 7	XBYBZ	EWERA	87	87.E.V 87.W.C 87.E.V 87.R.C 87.A.V	1.5 1.75 1.3 1.75 0.8	ʌʋʌrã	0	6	And:6
23514	114_and	And	LAHNDAOFSHAHPUR	LAHNDA_OF_SHAHPUR	hor	hor	h o r	west2386		30.0948	75.3474		3 7 5	AXN	HUR	59	59.H.C 59.U.V 59.R.c	2.0 1.5 0.8	hor	0	1	And:1
23515	114_and	And	MULTANI	MULTANI	tē	tē	t̪ eː	mult1243					1 7	AX	TE	67	67.T.C 67.E.V	2.0 1.5	t̪eː	0	2	And:2
23516	114_and	And	MULTANI	MULTANI	attē	attē	ʌ t̪ t̪ eː	mult1243					7 1 1 7	XMBZ	ETTE	67	67.E.V 67.T.c 67.T.C 67.E.V	1.5 1.1 1.75 0.8	ʌt̪t̪eː	0	2	And:2
23517	114_and	And	HINDKI	HINDKI	attē	attē	ʌ t̪ t̪ eː	sout2668		33.2122	72.1702		7 1 1 7	XMBZ	ETTE	40	40.E.V 40.T.c 40.T.C 40.E.V	1.5 1.1 1.75 0.8	ʌt̪t̪eː	0	2	And:2
23518	114_and	And	HINDKI	HINDKI	attē̃	attē̃	ʌ t̪ t̪ ẽː	sout2668		33.2122	72.1702		7 1 1 7	XMBZ	ETTE	40	40.E.V 40.T.c 40.T.C 40.E.V	1.5 1.1 1.75 0.8	ʌt̪t̪ẽː	0	2	And:2
23519	114_and	And	THALI	THALI	tē	tē	t̪ eː	thal1241					1 7	AX	TE	101	101.T.C 101.E.V	2.0 1.5	t̪eː	0	2	And:2
23520	114_and	And	THALI	THALI	atē	atē	ʌ t̪ eː	thal1241					7 1 7	XBZ	ETE	101	101.E.V 101.T.C 101.E.V	1.5 1.75 0.8	ʌt̪eː	0	2	And:2
23521	114_and	And	THALI	THALI	hōr	hōr	h oː r	thal1241					3 7 5	AXN	HUR	101	101.H.C 101.U.V 101.R.c	2.0 1.5 0.8	hoːr	0	1	And:1
23525	114_and	And	POTHWARI	POTHWARI	hōr	hōr	h oː r	poth1238					3 7 5	AXN	HUR	85	85.H.C 85.U.V 85.R.c	2.0 1.5 0.8	hoːr	0	1	And:1
23526	114_and	And	CHIBHALI	CHIBHALI	tē	tē	t̪ eː	chib1247					1 7	AX	TE	22	22.T.C 22.E.V	2.0 1.5	t̪eː	0	2	And:2
23527	114_and	And	PUNCHHI	PUNCHHI	te	te	t̪ e	punc1239					1 7	AX	TE	88	88.T.C 88.E.V	2.0 1.5	t̪e	0	2	And:2
23528	114_and	And	SINDHIVICHOLI	SINDHI_VICHOLI	à̃^ẽ	à̃^ẽ	ã ẽ	sind1272		26.0	69.0		7 7	XZ	AE	96	96.A.V 96.E.V	1.5 0.8	ãẽ	0	3	And:3
23529	114_and	And	LARI	LARI	à̃^ẽ	à̃^ẽ	ã ẽ	lari1254					7 7	XZ	AE	60	60.A.V 60.E.V	1.5 0.8	ãẽ	0	3	And:3
23530	114_and	And	LARI	LARI	ã^ü	ã^ü	ã y	lari1254					7 7	XZ	AY	60	60.A.V 60.Y.V	1.5 0.8	ãy	0	3	And:3
23531	114_and	And	LARI	LARI	nē̃	nē̃	n̪ ẽː	lari1254					4 7	AX	NE	60	60.N.C 60.E.V	2.0 1.5	n̪ẽː	0	4	And:4
23532	114_and	And	KACHCHHI	KACHCHHI	nē	nē	n̪ eː	kach1277		23.83	69.0		4 7	AX	NE	43	43.N.C 43.E.V	2.0 1.5	n̪eː	0	4	And:4
23533	114_and	And	MARATHIDESHI	MARATHI_DESHI	āṇi	āṇi	ʌː ɳ i	mara1378		17.9344	76.6665		7 4 7	XBZ	ENI	65	65.E.V 65.N.C 65.I.V	1.5 1.75 0.8	ʌːɳi	0	4	And:4
23534	114_and	And	NAGPURI	NAGPURI	āni	āni	ʌː n̪ i	varh1239		20.7139	79.7516		7 4 7	XBZ	ENI	69	69.E.V 69.N.C 69.I.V	1.5 1.75 0.8	ʌːn̪i	0	4	And:4
23535	114_and	And	KONKANI	KONKANI	āni	āni	ʌː n̪ i	konk1267		19.2414	73.9166		7 4 7	XBZ	ENI	56	56.E.V 56.N.C 56.I.V	1.5 1.75 0.8	ʌːn̪i	0	4	And:4
23536	114_and	And	SINGHALESE	SINGHALESE	saha	saha	s ʌ h ʌ	sinh1246		8.0	81.0		3 7 3 7	AXBZ	SEHE	97	97.S.C 97.E.V 97.H.C 97.E.V	2.0 1.5 1.75 0.8	sʌhʌ	0	7	And:7
23537	114_and	And	SINGHALESE	SINGHALESE	-t	-t	+ t̪	sinh1246		8.0	81.0		9 1	_A	_T	97	97._._ 97.T.C	0.0 2.0	+t̪	0	2	And:2
23538	114_and	And	ORIYA	ORIYA	ēbaṅ	ēbaṅ	eː b ʌ ŋ	oriy1255		21.0	85.0		7 1 7 4	XBYN	EPEN	73	73.E.V 73.P.C 73.E.V 73.N.c	1.5 1.75 1.3 0.8	eːbʌŋ	0	6	And:6
23539	114_and	And	ORIYA	ORIYA	ō	ō	oː	oriy1255		21.0	85.0		7	X	U	73	73.U.V	1.5	oː	0	3	And:3
23540	114_and	And	BIHARIMAITHILI	BIHARI_MAITHILI	āor	āor	ʌː o r	mait1250		26.3817	86.2211		7 7 5	XYN	EUR	14	14.E.V 14.U.V 14.R.c	1.5 1.3 0.8	ʌːor	0	1	And:1
23541	114_and	And	MAGAHI	MAGAHI	ǎǔr	ǎǔr	æ ŏ r	maga1260		25.0915	85.3335		7 7 5	XYN	EUR	61	61.E.V 61.U.V 61.R.c	1.5 1.3 0.8	æŏr	0	1	And:1
23542	114_and	And	MAGAHI	MAGAHI	au	au	au	maga1260		25.0915	85.3335		7	X	A	61	61.A.V	1.5	au	0	3	And:3
23543	114_and	And	BHOJPURINORTHERN	BHOJPURI_NORTHERN	āur	āur	ʌː u r	nort2656					7 7 5	XYN	EYR	12	12.E.V 12.Y.V 12.R.c	1.5 1.3 0.8	ʌːur	0	1	And:1
23544	114_and	And	BHOJPURISOUTHERN	BHOJPURI_SOUTHERN	ǎǔr	ǎǔr	æ ŏ r	sout2661					7 7 5	XYN	EUR	13	13.E.V 13.U.V 13.R.c	1.5 1.3 0.8	æŏr	0	1	And:1
23545	114_and	And	BHOJPURISOUTHERN	BHOJPURI_SOUTHERN	awar	awar	ʌ w ʌ r	sout2661					7 6 7 5	XBYN	EWER	13	13.E.V 13.W.C 13.E.V 13.R.c	1.5 1.75 1.3 0.8	ʌwʌr	0	1	And:1
23546	114_and	And	NAGPURIA	NAGPURIA	ǎǔr	ǎǔr	æ ŏ r	sadr1248		23.6585	84.8114		7 7 5	XYN	EUR	70	70.E.V 70.U.V 70.R.c	1.5 1.3 0.8	æŏr	0	1	And:1
23547	114_and	And	BENGALIWRITTEN	BENGALI_WRITTEN	ār	ār	ʌː r	beng1280		24.0	90.0		7 5	XN	ER	9	9.E.V 9.R.c	1.5 0.8	ʌːr	0	1	And:1
23548	114_and	And	BENGALIWRITTEN	BENGALI_WRITTEN	ebaṅ	ebaṅ	e b ʌ ŋ	beng1280		24.0	90.0		7 1 7 4	XBYN	EPEN	9	9.E.V 9.P.C 9.E.V 9.N.c	1.5 1.75 1.3 0.8	ebʌŋ	0	6	And:6
23550	114_and	And	SOUTHWESTERNBENGALI	SOUTH_WESTERN_BENGALI	ār	ār	ʌː r	beng1280		24.0	90.0		7 5	XN	ER	100	100.E.V 100.R.c	1.5 0.8	ʌːr	0	1	And:1
23551	114_and	And	SIRIPURIA	SIRIPURIA	ār’	ār’	ʌː r	siri1268					7 5	XN	ER	98	98.E.V 98.R.c	1.5 0.8	ʌːr	0	1	And:1
23552	114_and	And	EASTERNBENGALI	EASTERN_BENGALI	ār	ār	ʌː r	east2744					7 5	XN	ER	29	29.E.V 29.R.c	1.5 0.8	ʌːr	0	1	And:1
23553	114_and	And	EASTERNBENGALI	EASTERN_BENGALI	āro	āro	ʌː r o	east2744					7 5 7	XBZ	ERU	29	29.E.V 29.R.C 29.U.V	1.5 1.75 0.8	ʌːro	0	1	And:1
23554	114_and	And	EASTERNBENGALIOFCACHAR	EASTERN_BENGALI_OF_CACHAR	ār	ār	ʌː r	sylh1242		24.83724	92.25347		7 5	XN	ER	30	30.E.V 30.R.c	1.5 0.8	ʌːr	0	1	And:1
23555	114_and	And	EASTERNBENGALIOFCHITTAGONG	EASTERN_BENGALI_OF_CHITTAGONG	ār	ār	ʌː r	chit1275		20.831	93.1695		7 5	XN	ER	31	31.E.V 31.R.c	1.5 0.8	ʌːr	0	1	And:1
23556	114_and	And	CHAKMA	CHAKMA	ār	ār	ʌː r	chak1266		23.00148	92.339		7 5	XN	ER	18	18.E.V 18.R.c	1.5 0.8	ʌːr	0	1	And:1
23557	114_and	And	ASSAMESE	ASSAMESE	āru	āru	ʌː r u	assa1263		26.0876	91.2932		7 5 7	XBZ	ERY	1	1.E.V 1.R.C 1.Y.V	1.5 1.75 0.8	ʌːru	0	1	And:1
23558	114_and	And	EASTERNHINDIAWADHI	EASTERN_HINDI_AWADHI	aur	aur	au r	awad1243		27.5907	82.4663		7 5	XN	AR	32	32.A.V 32.R.c	1.5 0.8	aur	0	1	And:1
23559	114_and	And	BAGHELI	BAGHELI	au	au	au	bagh1251		24.6837	87.4994		7	X	A	4	4.A.V	1.5	au	0	3	And:3
23560	114_and	And	CHHATTISGARHI	CHHATTISGARHI	aur	aur	au r	chha1249		20.3601	82.0483		7 5	XN	AR	21	21.A.V 21.R.c	1.5 0.8	aur	0	1	And:1
23561	114_and	And	WESTERNHINDIHINDOSTANI	WESTERN_HINDI_HINDOSTANI	aur	aur	au r	hind1269		25.0	77.0		7 5	XN	AR	108	108.A.V 108.R.c	1.5 0.8	aur	0	1	And:1
23562	114_and	And	VERNACULARHINDOSTANI	VERNACULAR_HINDOSTANI	aur	aur	au r	hind1269		25.0	77.0		7 5	XN	AR	103	103.A.V 103.R.c	1.5 0.8	aur	0	1	And:1
23563	114_and	And	VERNACULARHINDOSTANI	VERNACULAR_HINDOSTANI	ōr	ōr	oː r	hind1269		25.0	77.0		7 5	XN	UR	103	103.U.V 103.R.c	1.5 0.8	oːr	0	1	And:1
23564	114_and	And	VERNACULARHINDOSTANI	VERNACULAR_HINDOSTANI	har	har	h ʌ r	hind1269		25.0	77.0		3 7 5	AXN	HER	103	103.H.C 103.E.V 103.R.c	2.0 1.5 0.8	hʌr	0	1	And:1
23565	114_and	And	VERNACULARHINDOSTANI	VERNACULAR_HINDOSTANI	ar	ar	ʌ r	hind1269		25.0	77.0		7 5	XN	ER	103	103.E.V 103.R.c	1.5 0.8	ʌr	0	1	And:1
23566	114_and	And	DAKHINI	DAKHINI	aur	aur	au r	decc1239		18.5919	75.717		7 5	XN	AR	26	26.A.V 26.R.c	1.5 0.8	aur	0	1	And:1
23567	114_and	And	DAKHINI	DAKHINI	hōr	hōr	h oː r	decc1239		18.5919	75.717		3 7 5	AXN	HUR	26	26.H.C 26.U.V 26.R.c	2.0 1.5 0.8	hoːr	0	1	And:1
23568	114_and	And	DAKHINI	DAKHINI	anē	anē	ʌ n̪ eː	decc1239		18.5919	75.717		7 4 7	XBZ	ENE	26	26.E.V 26.N.C 26.E.V	1.5 1.75 0.8	ʌn̪eː	0	4	And:4
23569	114_and	And	DAKHINI	DAKHINI	nē	nē	n̪ eː	decc1239		18.5919	75.717		4 7	AX	NE	26	26.N.C 26.E.V	2.0 1.5	n̪eː	0	4	And:4
23570	114_and	And	BANGARU	BANGARU	hōr	hōr	h oː r	hary1238		29.0166	76.0432		3 7 5	AXN	HUR	7	7.H.C 7.U.V 7.R.c	2.0 1.5 0.8	hoːr	0	1	And:1
23571	114_and	And	BRAJBHAKHA	BRAJ_BHAKHA	auru	auru	au r u	braj1242		26.4758	78.0813		7 5 7	XBZ	ARY	15	15.A.V 15.R.C 15.Y.V	1.5 1.75 0.8	auru	0	1	And:1
23572	114_and	And	KANAUJI	KANAUJI	auru	auru	au r u	kana1281		27.1074	79.2883		7 5 7	XBZ	ARY	45	45.A.V 45.R.C 45.Y.V	1.5 1.75 0.8	auru	0	1	And:1
23573	114_and	And	BUNDELI	BUNDELI	ōr	ōr	oː r	bund1253		24.8982	78.9542		7 5	XN	UR	16	16.U.V 16.R.c	1.5 0.8	oːr	0	1	And:1
23574	114_and	And	BANAPHARI	BANAPHARI	aur	aur	au r	bana1281					7 5	XN	AR	6	6.A.V 6.R.c	1.5 0.8	aur	0	1	And:1
23575	114_and	And	PANJABIWRITTEN	PANJABI_WRITTEN	hōr	hōr	h oː r	panj1256		30.0368	75.6702		3 7 5	AXN	HUR	78	78.H.C 78.U.V 78.R.c	2.0 1.5 0.8	hoːr	0	1	And:1
23576	114_and	And	PANJABIWRITTEN	PANJABI_WRITTEN	atē	atē	ʌ t̪ eː	panj1256		30.0368	75.6702		7 1 7	XBZ	ETE	78	78.E.V 78.T.C 78.E.V	1.5 1.75 0.8	ʌt̪eː	0	2	And:2
23577	114_and	And	PANJABIWRITTEN	PANJABI_WRITTEN	tē	tē	t̪ eː	panj1256		30.0368	75.6702		1 7	AX	TE	78	78.T.C 78.E.V	2.0 1.5	t̪eː	0	2	And:2
23578	114_and	And	PANJABIWRITTEN	PANJABI_WRITTEN	ar	ar	ʌ r	panj1256		30.0368	75.6702		7 5	XN	ER	78	78.E.V 78.R.c	1.5 0.8	ʌr	0	1	And:1
23580	114_and	And	POWADHI	POWADHI	hōr	hōr	h oː r	powa1246		21.797	79.239		3 7 5	AXN	HUR	86	86.H.C 86.U.V 86.R.c	2.0 1.5 0.8	hoːr	0	1	And:1
23581	114_and	And	DOGRI	DOGRI	hōr	hōr	h oː r	dogr1250		32.5534	75.7111		3 7 5	AXN	HUR	28	28.H.C 28.U.V 28.R.c	2.0 1.5 0.8	hoːr	0	1	And:1
23582	114_and	And	KANGRA	KANGRA	kanē	kanē	k ʌ n̪ eː	kang1280		31.915	76.366		1 7 4 7	AXBZ	KENE	46	46.K.C 46.E.V 46.N.C 46.E.V	2.0 1.5 1.75 0.8	kʌn̪eː	0	4	And:4
23583	114_and	And	GUJARATISTANDARD	GUJARATI_STANDARD	anē	anē	ʌ n̪ eː	guja1252		22.687	71.0962		7 4 7	XBZ	ENE	38	38.E.V 38.N.C 38.E.V	1.5 1.75 0.8	ʌn̪eː	0	4	And:4
23584	114_and	And	GUJARATISTANDARD	GUJARATI_STANDARD	nē	nē	n̪ eː	guja1252		22.687	71.0962		4 7	AX	NE	38	38.N.C 38.E.V	2.0 1.5	n̪eː	0	4	And:4
23585	114_and	And	CHAROTARI	CHAROTARI	anē	anē	ʌ n̪ eː	guja1252		22.687	71.0962		7 4 7	XBZ	ENE	20	20.E.V 20.N.C 20.E.V	1.5 1.75 0.8	ʌn̪eː	0	4	And:4
23586	114_and	And	CHAROTARI	CHAROTARI	nē	nē	n̪ eː	guja1252		22.687	71.0962		4 7	AX	NE	20	20.N.C 20.E.V	2.0 1.5	n̪eː	0	4	And:4
23587	114_and	And	KATHIYAWADI	KATHIYAWADI	anē	anē	ʌ n̪ eː	kath1249					7 4 7	XBZ	ENE	49	49.E.V 49.N.C 49.E.V	1.5 1.75 0.8	ʌn̪eː	0	4	And:4
23588	114_and	And	KATHIYAWADI	KATHIYAWADI	nē̃	nē̃	n̪ ẽː	kath1249					4 7	AX	NE	49	49.N.C 49.E.V	2.0 1.5	n̪ẽː	0	4	And:4
23589	114_and	And	KHARAWA	KHARAWA	nē	nē	n̪ eː	khar1282					4 7	AX	NE	51	51.N.C 51.E.V	2.0 1.5	n̪eː	0	4	And:4
23590	114_and	And	KHARAWA	KHARAWA	taṭ’ā	taṭ’ā	t̪ ʌ ʈʱ ʌː	khar1282					1 7 1 7	AXBZ	TETE	51	51.T.C 51.E.V 51.T.C 51.E.V	2.0 1.5 1.75 0.8	t̪ʌʈʱʌː	0	2	And:2
23591	114_and	And	GHISADI	GHISADI	warī	warī	w ʌ r iː	guja1252		22.687	71.0962		6 7 5 7	AXBZ	WERI	37	37.W.C 37.E.V 37.R.C 37.I.V	2.0 1.5 1.75 0.8	wʌriː	0	5	And:5
23592	114_and	And	RAJASTHANIMARWARI	RAJASTHANI_MARWARI	nè	nè	n̪ e	marw1260		27.002	75.0656		4 7	AX	NE	89	89.N.C 89.E.V	2.0 1.5	n̪e	0	4	And:4
23593	114_and	And	RAJASTHANIMARWARI	RAJASTHANI_MARWARI	ōr	ōr	oː r	marw1260		27.002	75.0656		7 5	XN	UR	89	89.U.V 89.R.c	1.5 0.8	oːr	0	1	And:1
23594	114_and	And	JAIPURI	JAIPURI	ar	ar	ʌ r	dhun1238		26.473	76.198		7 5	XN	ER	42	42.E.V 42.R.c	1.5 0.8	ʌr	0	1	And:1
23595	114_and	And	JAIPURI	JAIPURI	aur	aur	au r	dhun1238		26.473	76.198		7 5	XN	AR	42	42.A.V 42.R.c	1.5 0.8	aur	0	1	And:1
23596	114_and	And	MEWATI	MEWATI	ar	ar	ʌ r	mewa1249		24.57	73.68		7 5	XN	ER	66	66.E.V 66.R.c	1.5 0.8	ʌr	0	1	And:1
23597	114_and	And	MEWATI	MEWATI	aur	aur	au r	mewa1249		24.57	73.68		7 5	XN	AR	66	66.A.V 66.R.c	1.5 0.8	aur	0	1	And:1
